Date,QQQ,QLD_actual,QLD_simulated
1999-07-16,51.77357482910156,,7.579946186328485
1999-07-19,51.24634552001953,,7.42474113911218
1999-07-20,49.269248962402344,,6.85103509534272
1999-07-21,49.50649642944336,,6.916268181137184
1999-07-22,48.24773406982422,,6.5638053145412965
1999-07-23,48.32022476196289,,6.582813603882665
1999-07-26,47.13398361206055,,6.258885403606509
1999-07-27,48.08297348022461,,6.510234381827945
1999-07-28,49.025390625,,6.764723405842271
1999-07-29,47.977535247802734,,6.474811253977831
1999-07-30,47.74027633666992,,6.4100668433276455
1999-08-02,47.608482360839844,,6.373976229270965
1999-08-03,47.29874038696289,,6.290342896309157
1999-08-04,46.44199752807617,,6.061777689669129
1999-08-05,47.180118560791016,,6.253801346658684
1999-08-06,46.672637939453125,,6.118584849588714
1999-08-09,46.07294464111328,,5.960683358856904
1999-08-10,45.65774154663086,,5.852599845013843
1999-08-11,47.160335540771484,,6.23717938197961
1999-08-12,46.60675048828125,,6.090070929338476
1999-08-13,48.63656997680664,,6.61987717902744
1999-08-16,49.025390625,,6.724999552357685
1999-08-17,49.269248962402344,,6.7911684043692855
1999-08-18,48.71564865112305,,6.637813912327696
1999-08-19,48.135719299316406,,6.479052262246035
1999-08-20,48.90017318725586,,6.684136464054927
