signal,entry,exit,CAGR,Sharpe,MaxDD,Finalx,TimeInMkt,Trades
QQQ,-0.0075,0.04,14.643777809748215,0.5608292691198801,-99.80744447128002,40.67178311084497,96.00468315527587,100
QQQ,-0.0075,0.0425,14.56956061811574,0.5614051414303303,-99.8188237876583,39.96385138705095,96.70715644665594,85
QQQ,-0.0075,0.045,16.818935195385087,0.5877860462276266,-99.79355096000145,67.7059679048001,97.39499487779891,72
QQQ,-0.0075,0.0475,17.11709609066052,0.5912229568033281,-99.7516529836971,72.551226695982,97.48280403922142,70
QQQ,-0.0075,0.05,16.69702674367568,0.5873846501991671,-99.77579559717682,65.81601093523714,97.67305722230353,64
QQQ,-0.0075,0.0525,17.7883941984458,0.5999454211634135,-99.70348854910509,84.71298025698911,97.9803892872823,56
QQQ,-0.0075,0.055,16.128198972015827,0.5827883571531974,-99.78196258858846,57.6488482825159,98.21454705107567,50
QQQ,-0.0075,0.0575,15.628015281455788,0.5778219250197567,-99.79298657466856,51.28143624483042,98.40480023415776,44
QQQ,-0.0075,0.06,15.628959868407556,0.5780506370342242,-99.78078069406442,51.29279671374068,98.59505341723987,40
QQQ,-0.0075,0.0625,15.810868086922959,0.5807748917020056,-99.8045423716539,53.52636969855327,98.9462900629299,32
QQQ,-0.0075,0.065,14.666373866417493,0.5687302776001312,-99.85068658395852,40.88970676467116,99.136543246012,26
QQQ,-0.0075,0.0675,14.208938056166165,0.5637759461786297,-99.86602386448826,36.68956909416172,99.15117810624908,25
QQQ,-0.0075,0.07,13.279376541147215,0.5539982831388026,-99.89265311811813,29.39710736396133,99.20971754719743,24
QQQ,-0.0075,0.0725,13.7136288156404,0.5590020301204655,-99.90089398100491,32.61075695776379,99.3267964290941,22
QQQ,-0.0075,0.075,13.88134494034141,0.5613345606795153,-99.8995955070603,33.94035583645392,99.39997073027953,20
QQQ,-0.0075,0.0775,13.564623695540146,0.5581840803625997,-99.89905365148185,31.471694276064312,99.5170496121762,17
QQQ,-0.0075,0.08,13.076156080590295,0.5530056441079478,-99.91018882376275,28.000120089574846,99.57558905312455,16
QQQ,-0.01,0.005,14.269400673379206,0.5139599498661477,-96.2905389216962,37.21989814540703,28.99165812966486,806
QQQ,-0.01,0.0075,18.83739355263745,0.583398757913286,-94.14823543477138,107.73572550895878,33.00160983462608,765
QQQ,-0.01,0.01,19.878810446096097,0.5986209860694928,-96.59234637734762,136.4919687208742,38.72384018732621,709
QQQ,-0.01,0.0125,18.63966631827063,0.5826807198081739,-97.72663956340793,102.97933387795231,47.02180594175326,628
QQQ,-0.01,0.015,16.7287464046288,0.5592860018342666,-98.65048984628368,66.30281405235674,56.78325771988878,531
QQQ,-0.01,0.0175,17.44003875706912,0.5711589347918244,-97.58662332180333,78.17563571109649,64.2324015805649,450
QQQ,-0.01,0.02,16.296839188814083,0.5598820225773224,-98.58511659268711,59.962415305835684,72.0913215278794,381
QQQ,-0.01,0.0225,15.97524210208039,0.5595296678019656,-99.41890843803671,55.62498244568035,79.04288014049466,306
QQQ,-0.01,0.025,21.37060518408289,0.6259014680884909,-99.30610056809999,190.87308867552784,83.2284501683009,263
QQQ,-0.01,0.0275,27.035220968523845,0.6903763034836573,-98.46854955638244,657.5238392184223,87.17986243231377,227
QQQ,-0.01,0.03,27.151456282254927,0.6920605471991133,-98.83969179338882,674.0333339195985,90.04829503878238,191
QQQ,-0.01,0.0325,24.184324445201955,0.660763292542967,-99.01502452873162,355.326977322913,92.4337772574272,154
QQQ,-0.01,0.035,25.633269265004465,0.6777464223993339,-99.30465168938318,486.66571902471526,94.29240450753696,129
QQQ,-0.01,0.0375,20.826045661672012,0.6272809959877664,-99.41231565031059,168.96243832362435,95.1119566808137,111
QQQ,-0.01,0.04,19.09986893930555,0.6089782377366312,-99.60123045998647,114.3774681488711,95.62417678911166,100
QQQ,-0.01,0.0425,18.281097016321034,0.601147041519233,-99.67160078520567,94.86485214777028,96.37055466120299,85
QQQ,-0.01,0.045,19.812560529971044,0.6191367050678428,-99.66593539891468,134.46134172858567,97.20474169471682,72
QQQ,-0.01,0.0475,20.118362155821433,0.6225424946282752,-99.598138373845,144.08383171352546,97.29255085613933,70
QQQ,-0.01,0.05,19.687528027961633,0.618566881830972,-99.62348019371505,130.70796284928042,97.48280403922142,64
QQQ,-0.01,0.0525,20.806863082817138,0.6310422399359591,-99.50205066159974,168.2365874039052,97.79013610420022,56
QQQ,-0.01,0.055,19.104123362364156,0.6136651676947403,-99.63383678967136,114.48830478391629,98.02429386799356,50
QQQ,-0.01,0.0575,18.233415412946098,0.6048768360813458,-99.67969126418491,93.83335651341721,98.25845163178691,44
QQQ,-0.01,0.06,18.23438128390047,0.6050740767883761,-99.66080529010104,93.85414358584697,98.44870481486902,40
QQQ,-0.01,0.0625,16.793872062148687,0.590851218341514,-99.75454023590865,67.31319296051831,98.84384604127031,32
QQQ,-0.01,0.065,14.672262335658125,0.5687725561787907,-99.85068658395852,40.946681517439586,99.10727352553783,26
QQQ,-0.01,0.0675,14.214803034677924,0.5638177003509371,-99.86602386448826,36.74069147418633,99.12190838577492,25
QQQ,-0.01,0.07,13.285193783830218,0.5540389252104836,-99.89265311811813,29.438068599849064,99.18044782672325,24
QQQ,-0.01,0.0725,13.719468358506749,0.5590430842934934,-99.90089398100491,32.65619601718159,99.29752670861993,22
QQQ,-0.01,0.075,13.88134494034141,0.5613345606795153,-99.8995955070603,33.94035583645392,99.39997073027953,20
QQQ,-0.01,0.0775,13.564623695540146,0.5581840803625997,-99.89905365148185,31.471694276064312,99.5170496121762,17
QQQ,-0.01,0.08,13.076156080590295,0.5530056441079478,-99.91018882376275,28.000120089574846,99.57558905312455,16
QQQ,-0.0125,0.005,16.22686184354474,0.5434445483947179,-94.65073972043714,58.99174637298598,24.51339089711693,699
QQQ,-0.0125,0.0075,19.98555694908768,0.600718165320634,-92.00456905343985,139.82613371229155,27.542806966193474,669
QQQ,-0.0125,0.01,19.843508101758232,0.5980418394361249,-95.50672985940733,135.40626820634904,31.596663251865948,629
QQQ,-0.0125,0.0125,19.685597149631295,0.5957677171852283,-96.75783729610586,130.65079821168453,38.91409337040832,571
QQQ,-0.0125,0.015,20.003305506793833,0.6009162151877881,-98.08178413842438,140.38805100081166,50.212205473437734,494
QQQ,-0.0125,0.0175,19.28953715206594,0.5929505350373306,-96.79893065137881,119.42050267409397,58.12966486170057,423
QQQ,-0.0125,0.02,18.5479485510492,0.5859730861007002,-97.79891905388733,100.84232276823033,67.74476803746524,360
QQQ,-0.0125,0.0225,18.140257845035592,0.5842828936538806,-98.99995164492407,91.8491611765053,76.95009512659155,292
QQQ,-0.0125,0.025,22.605336695461787,0.6390544078561397,-98.7375467403416,251.15319606383926,81.2966486170057,251
QQQ,-0.0125,0.0275,28.127599876042364,0.7017641216420097,-98.1397308424831,829.3543111799627,85.37977462315234,217
QQQ,-0.0125,0.03,28.43565431998116,0.7054087695385421,-98.59056126891458,885.1538037925886,88.86287135957852,184
QQQ,-0.0125,0.0325,24.08506337575367,0.6588634700280342,-98.76188736408496,347.70574490605577,91.48251134201668,148
QQQ,-0.0125,0.035,26.202175017190154,0.6831758241349385,-99.22306341930171,550.0920665671326,93.6777403775794,125
QQQ,-0.0125,0.0375,22.414159918856825,0.6433905588539022,-99.29760645667065,240.74780572739425,94.5265622713303,110
QQQ,-0.0125,0.04,20.48188970283462,0.6228562420186345,-99.54265288133114,156.38685023956134,95.05341723986535,99
QQQ,-0.0125,0.0425,20.55571988756202,0.624866063117062,-99.55991532019912,159.00625277287384,95.96077857456461,85
QQQ,-0.0125,0.045,22.506121400563515,0.6469978993021782,-99.57204105515773,245.70018065052327,96.91204448997513,72
QQQ,-0.0125,0.0475,22.818797892370423,0.6503782292347801,-99.4851885625021,263.28328295497266,96.99985365139763,70
QQQ,-0.0125,0.05,21.68625767633432,0.638994585491227,-99.56334657659069,204.80048872426602,97.23401141519098,64
QQQ,-0.0125,0.0525,22.850697052266455,0.6519058538582214,-99.3589613067159,265.14375062622383,97.65842236206645,56
QQQ,-0.0125,0.055,20.54049801490514,0.6286291655265857,-99.52861713476342,158.4627653580872,97.93648470657105,50
QQQ,-0.0125,0.0575,18.800838673020735,0.6108521287299813,-99.66078006320424,106.84073283023787,98.1852773306015,44
QQQ,-0.0125,0.06,18.801809179362138,0.6110424841522527,-99.64077905099722,106.864401450164,98.3755305136836,40
QQQ,-0.0125,0.0625,17.354386696787127,0.5967749099258511,-99.74004815869576,76.64428868657826,98.77067174008488,32
QQQ,-0.0125,0.065,14.979093308831759,0.5720108288739988,-99.85068658395852,44.023618014955524,99.0487340845895,26
QQQ,-0.0125,0.0675,14.5204099744223,0.5670522598888602,-99.86602386448826,39.50156904353832,99.06336894482658,25
QQQ,-0.0125,0.07,13.58831334863928,0.5572632692717965,-99.89265311811813,31.65019090950879,99.12190838577492,24
QQQ,-0.0125,0.0725,13.719468358506749,0.5590430842934934,-99.90089398100491,32.65619601718159,99.29752670861993,22
QQQ,-0.0125,0.075,13.88134494034141,0.5613345606795153,-99.8995955070603,33.94035583645392,99.39997073027953,20
QQQ,-0.0125,0.0775,13.564623695540146,0.5581840803625997,-99.89905365148185,31.471694276064312,99.5170496121762,17
QQQ,-0.0125,0.08,13.076156080590295,0.5530056441079478,-99.91018882376275,28.000120089574846,99.57558905312455,16
QQQ,-0.015,0.005,12.818212272200235,0.4868623638563305,-93.0675086530502,26.318827227859813,20.971754719742428,602
QQQ,-0.015,0.0075,15.782775417322714,0.5362959030189779,-89.63814565839512,53.175417968390164,23.445046099809748,577
QQQ,-0.015,0.01,16.77158962220613,0.5523727072690027,-93.83962027361797,66.96583901466302,27.00131713742134,548
QQQ,-0.015,0.0125,17.305825100923865,0.5612996280462554,-95.5549181852514,75.78894729405862,32.56256402751354,509
QQQ,-0.015,0.015,17.349649016594327,0.5635016413907127,-97.78072547126652,76.56043383913783,43.48016976437875,456
QQQ,-0.015,0.0175,15.367147466690923,0.5385383049586508,-96.29653168216993,48.23502935840048,51.44153373335285,395
QQQ,-0.015,0.02,13.442161489794513,0.5166126528801278,-97.14599477398718,30.564318739542305,61.01273232840626,342
QQQ,-0.015,0.0225,13.372696457915412,0.5211988882959697,-98.69648650800234,30.06087747857413,70.40831260061466,280
QQQ,-0.015,0.025,18.585831629574614,0.5898575939622311,-98.20179310049328,101.71976426572643,74.9890238548222,244
QQQ,-0.015,0.0275,25.38812965637911,0.6710270269588038,-97.45225156012837,461.56274033136395,81.35518805795404,212
QQQ,-0.015,0.03,27.409143453281693,0.694066958327289,-98.17246816326,712.0697080549347,86.1993267964291,179
QQQ,-0.015,0.0325,23.30271078685,0.6497786152415231,-98.26078718636519,292.90712469203686,90.07756475925655,145
QQQ,-0.015,0.035,25.185673110871075,0.6719745247702429,-98.91319189412111,441.775374076418,92.34596809600468,122
